Code,Name,City,Country,Latitude,Longitude
LMC,La Macarena,La Macarena,Colombia,2.179167,-73.787500
SLQ,Sleetmute Airport,Sleetmute,United States,61.700566,-157.165833
SCM,Scammon Bay Airport,Scammon Bay,United States,61.845278,-165.571389
LIS,Lisboa,Lisbon,Portugal,38.781311,-9.135919
MAG,Madang,Madang,Papua New Guinea,-5.207083,145.788700
ORY,Orly,Paris,France,48.725278,2.359444
LGA,La Guardia,New York,United States,40.777245,-73.872608
